id,colour,size,width,brand,model,price,type,count,rating,no_rating,link
12631,,,,Biotrue,Bio True Contact Lens Solution 300 ml,580,contact_lens_solution,85561,4.6,132,https://www.lenskart.com/bio-true-lens-solution-300ml.html
201564,Green,Medium,137 mm,Lenskart Air,LA E13782,1700,eyeframe,10795,4.55,182,https://www.lenskart.com/lenskart-air-la-e13782-c3-eyeglasses.html
149604,Black,Wide,140 mm,Vincent Chase,VC E14210,1700,eyeframe,17399,4.65,54,https://www.lenskart.com/vincent-chase-vc-e14210-c1-eyeglasses.html
149200,Gunmetal,Extra Narrow,128 mm,John Jacobs,JJ E14143,5000,eyeframe,10010,5.0,5,https://www.lenskart.com/john-jacobs-jj-e14143-c3-c3-eyeglasses.html
213687,Blue,Medium,134 mm,John Jacobs,JJ E11729,3500,eyeframe,1350,0.0,0,https://www.lenskart.com/john-jacobs-jj-e11729-c4-eyeglasses.html
206463,Black,Medium,137 mm,Vincent Chase Polarized,VC S15373,1500,sunglasses,9130,4.5,2,https://www.lenskart.com/vincent-chase-vc-s15373-c1-sunglasses.html
201330,Sky Blue,Narrow,130 mm,Lenskart Air,LA E13066,1700,eyeframe,9394,4.65,86,https://www.lenskart.com/lenskart-air-la-e13066-c5-eyeglasses.html
216841,Black,Medium,136 mm,Vincent Chase,VC E16906,1700,eyeframe,998,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16906-c1-eyeglasses.html
211605,Silver,Narrow,133 mm,Lenskart Air,LA E16206,3000,eyeframe,2464,0.0,0,https://www.lenskart.com/lenskart-air-la-e16206-c1-eyeglasses.html
142894,Transparent,Medium,136 mm,John Jacobs,JJ E13360 C2,5000,eyeframe,10666,4.75,32,https://www.lenskart.com/john-jacobs-jj-e13360-c2-eyeglasses.html
201541,Transparent,Extra Narrow,129 mm,Lenskart Air,LA E11483-XN,1700,eyeframe,9186,4.55,29,https://www.lenskart.com/lenskart-air-la-e11483-xs-c3-eyeglasses.html
215964,Grey,Wide,142 mm,Vincent Chase Polarized,VC S16747,2000,sunglasses,1276,0.0,0,https://www.lenskart.com/vincent-chase-vc-s16747-c3-sunglasses.html
207626,,,,Bausch & Lomb iConnect,Bausch & Lomb iConnect Daily Disposable,849,contact_lens,5099,0.0,0,https://www.lenskart.com/bausch-lomb-icont-daily-disposable-cl-30lp.html
206785,Gunmetal Black,Narrow,131 mm,John Jacobs,JJ E11540XS,5000,eyeframe,4794,5.0,1,https://www.lenskart.com/john-jacobs-jj-e11540xs-c4-eyeglasses.html
211934,Grey,Medium,134 mm,Vincent Chase,VC E16230,1700,eyeframe,3130,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16230-c1-eyeglasses.html
209230,Blue,Medium,135 mm,Vincent Chase,VC E13453,1700,eyeframe,8540,5.0,1,https://www.lenskart.com/vincent-chase-vc-e13453-c5-eyeglasses.html
211948,Green,Medium,137 mm,Lenskart Air,LA E16241,1700,eyeframe,2088,0.0,0,https://www.lenskart.com/lenskart-air-la-e16241-c3-eyeglasses.html
